cleaned_text,Label
kulit menjadi bersih berkilau lembut dan segar,netral
packaging kurang tebal produk pecah begitu dibuka dari kemasan,netral
cocok tahan lama warna sesuai,netral
terima kasih sudah sampai dengan aman dan sesuai packing dan pengiriman baik,netral
cuhsion skintific ringan gampang menyerap memang the best,netral
produk sesuai pesanan dan cepat sampai,netral
sudah cocok dengan produk ini kulit terlihat lebih cerah,netral
anak saya cocok pakai ini sehingga saya nyetokin 110 ml dapat free sample size pula ekspirednya masih lama packing aman pengiriman cepat,netral
belum dipakai jd blm tau masuk ga nya ke ram but yg pasti pengiriman cepat,netral
barangnya sudah sampai sesuai pesanan packingnya juga bagus dan aman recommended sih beli di sini tokonya gercep cepat sampai paketnya,positif
produk mantap terimakasih cepat jg pengiriman nyaa,negatif
suka sama bedaknya hasil akhirnya keliatan smooth ga cakey dan ga berat di muka bakal repurchase lg sih ke depannya,netral
banyak yg blng sebagian besar varian wanginya kaya bapak bapak tp yg ini engga kok enak malah awal disemprot fresh banana orange gitu lama lama jd agak sedikit warm mu,negatif
pengiriman nya cepat packingnya bagus produk nya ok terimakasih sering promo discount yaaaaaaa,positif
pengiriman cepat klo pipi klo ada jerawat pakai ini makasih ya kak,netral
aman cepat dan cocok,netral
mantap aman,netral
bagusss bangetttt sumpah beneran waterproof trs packaging nya juga sangatt aman bangettt di bonusin serum something nya jga malahhh aaaaarrhhh tngkyuu something muac,positif
pesanan nya sdh sampe ini wangi kesukaan ku bangetz lembut trimakasih reseller trimakasih tokped pengiriman ok,netral
barang sampai dengan aman kemasan rapi dan pengiriman cepat tanggal kedaluarsa masih lama dan sejauh ini cocok pakai somethinc,netral
sunscrennya bagus cepet meresap dan ringan,positif
enak banget setelah pemakaian 3 kali langsung keliatan hasilnya meskipun pas pengaplikasiannya lengket tapi hasilnya oke,netral
skintific bagus bgt buat muka berminyak,positif
bagus bgt,positif
suka banget sama warnanya cocok di kulit aku dan juga wanginya enakk kaya wangi coklat warna packagingnya juga cantik bgt tapi sayang ini gampang transfer karena,netral
produk tidak sesuai pesanan mohon dilakukan penukaran dan kirimkan ulang,negatif
maliogoro jl mh thamrin no 109 113 ledok kulon tiga ledok wetan kec bojonegoro kabupaten bojonegoro jawa timur 62113sophie turner boomchallengeasepso 1,netral
warna ini d bibir saya lebih gelap teryata jd seperti warna coklat kehitaman,netral
bagus bangettt muka ga jadi kering atau ketarik,positif
paket sampai cepat packing rapih dan tidak ada yg bocor,netral
sesuai dengan yang diiklankan exp date masih lama kemasannya msih blink2 seperti dulu mungkin bisa dikembangkan untuk anak usia tanggung spt remaja atau anak2 di atas,netral
tidak cocok di wajah aku bikin muncul jerawatan,netral
pesanan saya dgn aman tapi ternyata setelah 1 minggu pemakaian ternyata gak cocok muka saya bruntusan,netral
bagus cuma cepet patah stick lips nya,positif
terima kasih barang sampai dgn selamaat dapet bonus sunscreen dan serum juga yaampun baik sekali smg rezekinya semakin byk minn,netral
wanginya enak kyk wangi bayi gtu packagingnya mantep bgt bubble wrapnya banyak dikasih kardus juga semoga cocok di aku,netral
seller ramah fast respon juga,netral
bahannya ringan gampang diserap oleh kulit ga bikin lengket cocok untuk kulit sensitif,netral
kualitas produk bagus belum nyoba tapi semoga aja suka,negatif
oyla anda t r igedi denem k l mdese dem tabalmai neden oyan sen tek eles bu men emes sen tek eles zhanyma daua sen ma an aua sen tek eles bu men emes zhanyma daua se,netral
mantap top sesuai desk cocog wangi mantap,netral
isinya asli emang selalu pake ini dan cocok,netral
belanja 200ribu kurang dikit dapat bonus serum seharga 90ribuan giliran belanja hampir 400ribu gak dapet bonus apa2 suka bingung saya tapi makasih yaa,netral
cocok dengan kulit ga bikin jerawatan baru pertama kali coba sempat khawatir alhamdulillah aman flawless tidak bikin crack,netral
yang velvet rauge wanginya enak banget di pke pas hangout cocok juga jdi pengen koleksi semua wrna,negatif
pengiriman nya cepet banget pesan jam 7 malem dateng besok nya jam 3 sore excellent,netral
mantab,netral
paket rapi sesuai pesanan pengiriman cepat pelayanan memuaskan terima kasih mustika ratu,netral
pertama coba parfum scarlett dapet harga 36rb dong untuk harumnya vanilla tapi seger gtuu bakal beli yg lainnya jg semoga tahan lama baunya,negatif
wanginya strong manis baru nyobain sii varian wangi ini buat yang suka aroma manis ini cocok sii boleh nyobain,negatif
paling ok buat gigi aku yg sensitip terima kasih mustika ratu sukses selalu,netral
admin fast respon pengiriman cepat barangs sesuai belum nyoba untuk efeknya di wajah,netral
pengirimannya cepat,netral
produknya ga ada masalah tapi dus nya sudah di bongkar dn paketnya dtang lama,netral
barang ori dr dulu udh pake make over varian shade ini bagus bgt plis make up tahan lumayan,positif
wangi bahan herbal produk dr mustika ratu sdh dikenal jaman dulu kala pengalaman sy kira2 3 th produk ini bs menumbuhkan rambut2 halus disekitar kening bagian atas trim,netral
wangi cepat sampai terimakasih,netral
utk packing nya aman bgt wlaupun box nya penyot tp isi dlm nya aman bgt terimakasih kak fell suka bgt sm aroma sweet memories ini manis buah segar dan vanila gt,negatif
gak pernah kecewa belanja disini selalu puas,positif
warna ini kurang cocok di saya jadi kayak manusia silver btw enak dipakenya ga terlalu nempel harus sering apply lagi,netral
perih dipake ke wajah,netral
barang nya datang sangat cepat tapi belum bisa ngasih review soalnya baru mau cobak,netral
bahannya ringan dan mudah diserap kulit sangat cocok untuk kulitku yang cenderung berminyak membuat make up tahan lama pengiriman barang sangat cepat,netral
bagus banget tahan lama,positif
thanks for free sample,netral
alhamdulillah order sesuai pesanan teksturnya lembut warnanya jg cocok buat kulit aq makasih ya,netral
thanks barangnya usah sampai packingan rapih barang ori harga murah dan kurirnya juga ramah mantap pokoknya bintang 5 deh buat resselernya thanks next akan bel,netral
flash sale skintific banyak dramanya,netral
produk dikirim dalam keadaan baik wangi elegan isinya biasanya full kak ini kok gak full kurang dikit sih hehehe tp gapapa aku beli di harga cuma 40ribuan thanks y,negatif
bahannya ringan gampang di serap ori semoga cocok,netral
wangi nya mantap tahan lama banget wangi nya cocok banget di aku,negatif
produk dan pengemasannya bagus sekali respon penjual sangat cepat pengiriman cepat dan kurir juga sangat baik dan informatif recomended,positif
bahanya ringan,netral
pengiriman cepat datang sebelum estimasi waktu packing bagus barang sampe dengan selamat belinya cleansing balm dan calm down bonus serum dan ss makasi something se,positif
pengiriman cepat packing aman barang ori mantap thanks,netral
respon cepet packing ok semoga kulit bisa kinclong,netral
wanginya ga enek seger semua aku udh habis 3 menurut ku ini wanginya tahan lama bgt seharian malah i love u so much scarlett,negatif
makasi,netral
tidak aman 1 dust susut perut sudah terbuka,netral
seller responsif pengiriman standar packaging baik barang diterima dalam kondisi baik sesuai dengan deskripsi terimakasih,netral
barang asli real pic mau di bawa ke ln ini beli banyak ha ha packingnya rapi dan aman kurirnya juga baik terima kasih seller dan tokped sukses selalu,netral
terima kasih,netral
barang sesuai pdhl harga 5rb ga nyangka bisa dpt suncreen azarine 40ml,netral
paket sampai dengan selamat expired masih lama,netral
baru mau coba semoga cocok seperti produk2 azarine yg lainnya packing rapih sehingga paket tiba ditujuan dgn aman,netral
cepat sekali proses dan pengirimannya happy dpt bonus thanks ya,netral
ini pembelian kedua karena merasa cocok di kulit,netral
baguss bangettt meredakan jerawat gua tapi wort to buy sii,positif
semogaa cocokkkkkk hehehe dikasih free serum kecik,netral
bahan enak mudah menyerap di kulit tidak bikin iritasi murah juga harganya,netral
karena penasaran ama wanginya akhirnya cek out yg varian banana fusion dan trnyata mmg segeeer manis susu ada aroma pisang dan kemasannya unik beda dengan varian y,negatif
baru pertama pakai skintone aku neutral medium disaranin sama beauty consultantnya pilih shade buttermilk adminnya ramah responsif packing aman pengiriman cepat th,netral
cocok banget pake ini tekstur bedaknya halus cepet nge set nya tahan lama,netral
alhamdulillah paketnya sudah sampe meskipun sedikit lama pesen tanggal 4 desember sampe 8 desember tapi paketnya sesuai packingnya aman jadi barangnya ndak ada yg rusa,netral
kita suka wanginya,netral
paket datang peking aman ada dus besar nya juga di jamin anti pecah cinta banget sama wangi nya mksih toko semoga lancar terus usaha nya amin,negatif
barang diterima sesuai pesanan dan dalam kondisi baik,netral
bagus bgt ringan di bibir dateng nya cpet toko amanah,positif
respon seller cepat barang sangat sesuai deskripsi recommended seller,netral
baru mencoba warna lucu2 dan senang banget belanja disini cepat y,netral
packing super aman cocok di muka gue selalu repurchase pengiriman juga cepat,netral
trimakasih paket sudh tiba dengan selamat semuga bisa beli lagi aromanya pas mewah elegan saya suka pokonya ngak nyesell dech kualitas produk asli bagus sa,negatif
cocok sama kulit ku tekstrur smooth,netral
pengiriman cepat wanginya jg enak saya suka,negatif
dikemas dengan baik produk sesuai pesanan dan exp nya masih lama cocok dengan produk ini,netral
kecewa banget botol parfumnya bocor kecewa beratttttt bocorrnya meberr,negatif
barang cocok ok banget,netral
smudgeproof pake dr pagi sampe malam masi oke,netral
bagus bgt glossy dan lumayan tahan lama,positif
barang datang sesuai pesanan barangnya original mantappp,negatif
barang sampai dengan aman semoga cocok di aku terima kasih untuk bonusnya,netral
gk salah pilih ini mah wangi nya aq suka pas live promo dpt 37rb mantab parfum nya next order lagi mau koleksi parfum2 scarlet thank s,negatif
warnanya cocok buat di tan skin teksturnya di awal sedikit lengket tahan lama,netral
suka banget sama warnanya ga perlu pake bedak lagi udh cantik,netral
barang bagus kualitas bagus pengiriman cepat dan memuaskan suka dah pokoknya terima kasih,positif
suka bgt sama ukuran bigger size ini suka bgt sama ukuran bigger size ini,netral
kualitas produk barang ori sesuai pesanan dpt bonus dtg juga cepat pengemasan nya mantap,negatif
barang sesuai foto dan deskripsi cocok untuk kulit sensitif pengiriman sangat cepat,netral
wanginya enak,netral
bibir berasa lebih sehat packing simple tapi elegan,netral
sesuai pesanan pengiriman cepat respon seller ok,netral
dpaet harga diskon plus free sunscreen dan serum sachet,netral
sudah sering pake cocok utk kulit normal spt saya terimakasih mustika ratu,netral
teksturnya lembut dan ringan diaplikasikan dan awet menempel di kulit wajah,netral
pesanan dibungkus dengan sangat aman rapi kualitas oke no kw,netral
respon cepat pengiriman cepat,netral
harga murah packing sangat aman pengiriman cepat,netral
bedak nya hancur tumpah berhamburan sampai dikemasannya,netral
dapet harga 20 rb gokil banget jujur ga pikir panjang langsung co eh pas liat review banyak bad review akhirnya ga berharap banyak ehhh taunya ini bener bener wor,netral
bagus nyatu ama kulit tahan lama matte,positif
kualitas mustika ratu lokol tea dan pelayanan sirclo memuaskan,netral
proses pesanannya sangat cepat lumayan dapat harga murah karena ada voucher toko terima kasih next bakalan belanja lagi,netral
seller ok produk ok cocok smooth n clean pengiriman cepat recommended thank you,netral
diterima dengan baik barangnya baru mau nyobain jadi belum bisa kasih review apapun mungkin bakal dicoba dulu 1 bulan efektif enggaknya,netral
product quality baik sumpah baunya wangi bgt wangi bunga mewah segar,negatif
beli kedua kalinya dengan warna berbeda krn suka ama yg pembilan yg pertama,netral
barang sudah diterima dengan baik packing oke,netral
pengiriman cepat produk bagus ga bikin cakit,positif
cepet banget pengirimannyaaaa aku sukak dari awal rilis udah penasaran sama warna make over pink ini krn menarik banget tipe bibirku yg atasnya gelap bawahnya eng,netral
masalah dengan pengiriman saya pesen same day delivery dari 2 hari sebelumnya dan sampenya hari ini jadi saya harus bayar ongkir utk kirim produk dari rumah ke kantor,netral
alhamdulillaah cocok utk kulit kering memperhalus dan mencerahkan makasih banyak ya untuk bonusnya,netral
no white cast adem dipakai no sticky on face waterproof barang ada segelnya exp date masih laaamaaaa thanks btw,netral
pengiriman cepat dan packaging sangat aman cushion nya juga bagus overall memuaskan,positif
barang sesuai pesanan wangi,netral
warna na sesuai harapan tahan lama dan lembut di bibir,netral
demi apapun wangi bangettttttt pengirimannya cepet bangetttttt suka bangettttttttttttt packingnya aman bangetttttttttt berlapis lapis bujeeettttt mana harganya murah,negatif
wanginya,netral
favorit tekstur nya bagus pelayanan bagooosa,positif
barang sampai dengan aman terimakasih,netral
bagus tekstur ringan nggak bikin kulit jadi berminyak dan bikin make up tahan sampai 8 jam nggak geser,positif
goooood,netral
sdh biasa pakai serum somethinc baru mau coba biospicule semoga cocok,netral
homestay view pegunungan di batu ada kolam renang taman bermain cafe juga perhari 160rb whatsapp skr jadi ascent cafe hotel kak namaya nyamy girlfriend,netral
pengirimannya cepet banget sehari sampe packingnya rapih dan aman semoga produknya cocok,netral
pengiriman cepat barang sampai dengan selamat tidak ada lecet dapat di percaya mudah amanah terpercaya,netral
kualitas produk the best makasih orderanku sudah sampai dengan selamat baru kemaren pesen harga ini udah nyampe seperti biasa wanginya istimewa makasih juga,negatif
parfum sprtinya bocor krg rapet atau gmn box nya basah bau parfum isinya pun jd ny g penuh,negatif
barang sesuai pesanan pengiriman cepat dan aman barang sampai dengan selamat terima kasih,netral
terimakasih barang datang,netral
toko recomended kemasan rapi harga recomended kualitas recommended,netral
maaf banget harus kasih bintang 1 karena ga dateng barangnya kurang beli 190 kurang barang 1 wkwkwk makasih,netral
terima kasih barang sdh diterima dg baik pengiriman cepat sekali packing aman ada bublewrapnya semoga produknya bagus dan tahan lama blm dicoba dpt harga murah selle,positif
cocok untuk kulit aku bagus banget lah pokoknya,positif
alhamdulillah cocok dg garnier micellar water bisa angkat make up dg bersih sering2 promo yaaa,netral
baru nyoba mudah2ancocok,netral
packing aman dan rapi barang original fan murah,netral
barang sesuai belum dicoba tapi semoga cocok,netral
pengiriman ok packaging ok kondisi produk ok kualitas produk ok terima kasih,netral
uda kesekian kalinya order disini dan recomend banget barang sampai dengan aman,netral
thank you baranh sudah diterima belum di coba tp percaya pasti ketjeeeh,netral
sesuai pesanan,netral
wangi bangett dan tahan lama pantes yaa scarlett varian velvet ini bnyak yg diminati terimakasih nnti mau order warian lain ah recommend sih ni wanginya soft gtu ga b,negatif
produk berkualiatas dgn harga spesial jika membeli via toped sdh pakai teratur dan membuktikan sendiri gak akan pindah ke lain hati thank you,netral
oke,netral
lembut tidak lengket cocok utk kulit kering terima kasih,netral
it is good for my skin i feel very refreshed as well after using this product,netral
ringan ga bikin kusem cocok buat kulit kering sesuai sama klaim nya,netral
bagus masuk ke kulit saya and waktu pengiriman cepat god job lokonya,positif
pembungkusnya robek tdk tertutup rapi dan di dalamnya sepertinya tumpah krn basah pembungkusnya basah sepertinya bukan krn huna tpi krn bocor micellarnya krn bau mica,netral
bagus banget sunscreeennya gak whitecase juga pengiriman cepat,positif
barang uda sampai packing rapi benget di bubble lagi suka sama sellernya,netral
sesuai pesanan sdh pembelian kedua terima kasih,netral
oke mantaaaaabs sesuaaai expetaasih barang,netral
alhamdulillah segar dan tidak mengandung fluoride jadi tenang,netral
parfum variant ini yg paling aku syuka terimakasih yaa,negatif
harum banget langsung dipakai ini,negatif
kualitas produk nice scentnya enak fresh fruity floral dikit nyampe nya juga cepet worth it scentnya mantap wkek,negatif
pengiriman cepat packing oke tp blm dicoba semoga cocok trmksh,netral
ringan membuat wajah lembab keesokan harinya,netral
cocok syuka the best,netral
nice,netral
parfum jolly sudah sampai pengiriman cepat pakingan tidak diragukan lagi sangat rapi parfum scarlet semua varian dan produk yang lain juga bikin jatuh cinta sich pokokny,negatif
alhamdulilah brang diterima dengan baik next ordel lagi mkasih,netral
puas banget dikirimnya cepat cuma 2 hari sampai lalu dapat bonus suncreen 15ml lagi,positif
alhamdulillah paket sudah sampai aman sesuai pesanan akhirnya nemu rangkaian hair care yg cocok dan ramah dikantong setelah pencarian hair care untuk rambut,netral
mantap packing bagus barang selamat kurir istimewa,positif
barangnya udh d ambil sama temen krn titipan,netral
alhamdulillah sudah sampai dgn selamat semoga berkah tq in advance,netral
tahan 2 3 jam an dlm ruangan,netral
baru pertama nyoba semoga ccok ya tapi bagus pengemasan rapih i love it,positif
menghitamkan dan menguatkan akar rambut jd rambut tidak mudah rontok rambut jg terlihat lbh tebal dan berkilau,netral
akhirnya yg d tunggu2 dateng juga packing nya emg juaraaa ya pengiriman cepat wangi nya masyaallah kalem banget sebelumnya aku nyobain yg dreamy juga enak,negatif
pertama kali nyoba make over semoga worth it sama harganya,netral
nyobain yg kecil trus cocok ternyata di kasih bnyk freegift makasih bangettt,netral
layanan pengirimannya cepet pengemasannya jg rapih belum pernah pakai tp reviewnya bagus jd pengen nyoba deh diketerangannya spf 50 dan efek sejuk di kulit semoga c,positif
packing aman msh blm sempat coba datang sesuai waktu,netral
warna bagus natural alami tekstur lembut lembab di bibir,positif
warnanya keruh tdk seperti biasa dan aromanya kerasa bau alkoholnya,netral
saya suka produk ini membuat rambut ku kuat dan tidak mudah rontok terimakasih,netral
barang cepat sampai kondisii baik,netral
ok bagus asli original membersihkan muka dengan bersih packingdan pengiriman cepat okelah,positif
moist kecintaankuu pas tau lagi promo langsung checkout dan ternyata dapet bonus serum juga thankyouu somethinc,netral
ada wanginya tapi masih bisa ditoleransi cocok jadi base make up,netral
paket sudah sampai dgn selamat cepat tepat terimakasih azarine semoga cocok,netral
mantul,netral
puas bgt blanja disini seller ramah n pengiriman cpt brg original next order lg makasi seller n toped,positif
gooooddd lumayan tahan lama,netral
brg oke,netral
dari bbpr varian wangi nya parfum scarlett paling suka si biru samudra wangi nya best sekali terimakasih,negatif
semoga cocok sm kulitnya seller recommended responsif,netral
toppp bangeett beli 3 barang dibonusin 2 jadi 5 dapet harga pas diskon lumayan banget packingnya juga topp banget aman kualitas jangn ditanya,netral
suka banget sama wanginya thanks seller bismillah berkah aamiin,negatif
sesuai pesanan makasih seller,netral
walaupun sempat nyangkut di pengirimannya tapi okelah produk sesuai yang dipesan,netral
kualitas produk aromanya manis perpaduan seger bunga cocok bnget buat cwe yg suka wangi floral suka banget sm parfum scarlett apalagi uda ada kandungan extra de parfumny,negatif
dapet diskon dong yeaaaay sesuka itu sama bedak ini,netral
sesuai pesanan n dilayani toped makin mantap,netral
cocok bagus di kulit akuu,positif
paket parfum dtg alhamdulillah gk ada yg bocor ataupun cacat dus parfum masih kesegel wangi nya bener awet semprot dri pagi sampe menjelang mlm masih kecium kurir ra,negatif
selalu pake moisturizer ini cocok dgn kulit sy yg kombinasi,netral
kualitas produk wangi nya tahan lama wangi nya enak dan ga bikin enek gitu,negatif
diterima dengan baik packing aman semoga ampuh,netral
bikin bibir tampak basah glossy warnanya cenderung subtle apalagi kl mirip warna bibir sekali oles sebenernya sdh cukup memberikan efek lembab,netral
pengiriman cepat barang ori warna nya bagus dan tahan lama sangat recommended,positif
tekstur ringan lembut cocok bagus hasilnya,positif
mudah bikin jerawat sama komede tertutup,netral
alhamdulillah sudah sampai paketnya tepat waktu karena sudah mau habis makasih seller,netral
dosnya penyok,netral
alhamdulillah udah sampe parfumnya dari boxnya ajh udah bagus banget packingan super rapih wanginya soft aku suka,negatif
wanginya seger,netral
padahal pas mau beli harus po 12 hari eeh ternyata gercep diproses pesanan sesuai dan cepat sampainya terima kasih,netral
paket sudah sampai semoga cocok,netral
pesanan udh sampe pengiriman cepat produk sesuai pesanan lgsung dicoba dan hasilnya bagus terima kasih tokped and seller,negatif
dia tuh boros banget hahaha tapi gak tau kenapa beli wae da soalnya bagus pas diaplikasikan mana satset lg,positif
bahannya ringan mudah diserap dan diaplikasikan,netral
pengemasan sangat luar biasa padahal cuman beli 2 tapi pake kardus besar produk nya masih aman tersegel untuk wanginya belum di coba semoga awet kualitas produk s,negatif
wanginya enak suka tapi sayang pas datang ternyata bocor huhu,negatif
bagus banget sih lumayan transferproof warnanya cantik pula nanti kita koleksi yang warna lain,positif
love it n like it applicator nya bagoes,netral
paket sdh di terima dgn aman packing rapi exp msh lama semoga berkhasiat,netral
cocok buat rambut tipis dan rontok,netral
langganan bnget dapet promo mantab selalu menjadi,netral
ringan gmpang menyerap lembab,netral
alhamdulillah aku suka wanginya enak bangett kalau yang velvet rouge ama laki aku di buang katanya wanginya bikin pusing apa lagi di dalam mobil ga ilang ilang bauya biki,negatif
selalu suka sama maskaranya somenthinc ini udh pembelian yg kesekian,netral
barang sudah sampai packingan nyaa rapih,netral
aromanya bunga bgt tekstur thick tapi mudah diratain ke kulit efektif lembabin kulit tanpa rasa lengket yg berlebih apalg kl di ruang berpendingin,netral
ok,netral
beli yg kemasan 110 dikasi bonus sample size ekspirednya masih lama 2027 pengirimannya cepat anak saya cocok pakai ini,netral
wanginya kalem manisss suka sekaliii ihh aku dpt diskon jadi harga 38 packing nya juga aman lucuu boxnya,negatif
bahannya ringan gampang di serap cocok sama kulit aku mantaap,netral
mendarat dgn baik cuma kardusnya penyok sm packing nya kurang bubble warp untung brangnya gak lecet,negatif
bagusss saya suka,positif
warna cantik aplikasi nya mudah cocok sm kulit putih thanks utk seller nya,netral
pengiriman cepat makasih kakkk,netral
bagus cocok juga di kulit dan juga gak watering banget,positif
mantap banget sunscreen praktis dan kalau disemprot pertama ada dingin dinginnya,netral
pertama kali nyoba serum moga sesuai harapan bisa bikin muka bersih dari jerawat,netral
barang diterima dalam kondisi baik disegel original tidak pernah kecewa dengan produk skintific,netral
ok sesuai deskripsi barang dikirim dgn cepat dan pqcking baik,netral
wah mantap setelah kosong luama buanget akhirnya yg dinanti nanti adalagi smoga formula sama spt dulu lebih jos malah oke wkkw,netral
bagus si buat jerawat,positif
bahannya ringan mudah menyerap dikulit melembabkan juga,netral
wangi harum banget kaya habis mandi swegeer poll wangi tahan lama partikel tiap semprotan banyak jadi sekali semprot langsung menyebarr manteb deh,negatif
twin stock bulanan wajibku dah sampe ini beneran ga bisa hidup tanpamu,netral
akhirnya sampe barangnya setelah sempet pesen ulang aman smua amanah penjual nya,netral
pertama beli blum coba semoga khasiatnya spt tomat asli,netral
thx seller tkx kurir paket udah smpe top pengiriman sangat rapi produk juga ber segel,negatif
top,netral
beneran tumbuh panjang cuma kalo alis nya ga terlalu,netral
repeat karna cocok banget pake ini,netral
kemasan cantik kereeeeeeen sukaaaaaaaaa mantaaaaaaaap,netral
sangat bagus dan ccok di saya semoga dapat meluncurkn produk baru terus,positif
kualitas bagus suka wangi nya kemasanny juga bagus,negatif
barangnya sampai dengan selamat dikasih bonusan jg baik bgt sellernya ya ampun makasih,netral
proses cepat tapi lama di pengiriman nya,netral
waoww mantap sekali ini produk parfumnya packagingnya cantik wanginya jiga segar sekali terima kasih scarlet whitening sudah ngeluarin produk sebagus ini,negatif
pembelian pertama semoga cocok sama kulit sensitif berminyak,netral
harga murah barang diterima dengan aman sesuai deskripsi,netral
kemasan baru,netral
alhamdulillah produknya sudah sampai baru pertama kali coba untuk anak saya semoga cocok,netral
jujur ini cantik bangetttt makasih yaa min,netral
,netral
barang sudah sampai tidak ada yang cacat tokonya juga amanah,netral
bahannya ringan coverage nya lumayan bikin bibir keliatan plumpy,netral
packing hny bubble tnp kardus utk pengiriman luar pulau tp tiba dgn selamat tdk pecah meskipun botol kaca exp date 2 5 thn lagi segelnya hny plastik di kemasan box ret,netral
bagusssss bbgetttttt5t sumpahhhhh demuuuu,positif
terbaiklah pokoknya full coverage cook di wajah,netral
proses cepat safe packing original pasti,netral
cocok dengan lipstic ini,netral
serum retinol nya udah sampe baru pertama kali mau coba semoga cocok packaging aman pakai bubble wrap dus,netral
